"Automovel","Bicicleta","Caminhao","Moto","Onibus","Outros","Utilitario","Periodo","Km_cat","Gravemente_feridos_Mortos","Chave"
0,0,0,0,0,0,2,"vespertino","(150,175]",0,"NOVADUTRA_BR-116/SP_64801_2010-12-06"
1,0,1,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_66901_2010-12-06"
1,0,0,0,0,0,0,"noturno","[0,25]",0,"NOVADUTRA_BR-116/SP_68101_2010-12-06"
2,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP_69001_2010-12-06"
1,0,0,1,0,0,0,"noturno","(225,250]",0,"NOVADUTRA_BR-116/SP_72201_2010-12-06"
2,0,1,0,0,0,0,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP_3201_2010-12-06"
1,0,0,0,0,0,0,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP_3301_2010-12-06"
1,0,0,0,0,0,0,"noturno","(50,75]",0,"NOVADUTRA_BR-116/SP_74301_2010-12-06"
1,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_78401_2010-12-06"
1,0,1,0,0,0,0,"madrugada","(50,75]",0,"NOVADUTRA_BR-116/SP_12101_2010-12-06"
1,0,0,1,0,0,0,"madrugada","(225,250]",0,"NOVADUTRA_BR-116/SP_12501_2010-12-06"
2,0,0,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_13701_2010-12-06"
1,0,1,0,0,0,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_1701_2010-12-07"
1,0,1,0,0,0,0,"manha","(225,250]",0,"NOVADUTRA_BR-116/SP_30901_2010-12-07"
1,0,0,0,0,0,0,"manha","(25,50]",0,"NOVADUTRA_BR-116/SP_31401_2010-12-07"
0,0,0,0,2,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_39301_2010-12-07"
1,0,1,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_45701_2010-12-07"
0,0,3,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_46501_2010-12-07"
1,0,1,0,0,0,0,"manha","(175,200]",0,"NOVADUTRA_BR-116/SP EXP_11901_2020-08-07"
1,0,0,1,0,0,0,"manha","(225,250]",0,"NOVADUTRA_BR-116/SP MARG_13001_2020-08-07"
1,0,0,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP EXP_13301_2020-08-07"
0,0,0,1,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP MARG_15701_2020-08-07"
0,0,1,0,0,0,0,"manha","(200,225]",1,"NOVADUTRA_BR-116/SP EXP_16201_2020-08-07"
3,0,1,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP MARG_20901_2020-08-07"
1,0,1,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP EXP_26001_2020-08-07"
1,0,0,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP MARG_26301_2020-08-07"
1,0,1,0,0,0,0,"noturno","(150,175]",0,"NOVADUTRA_BR-116/SP EXP_47501_2020-08-08"
2,0,0,0,0,0,0,"noturno","(100,125]",0,"NOVADUTRA_BR-116/SP EXP_53301_2020-08-08"
1,0,0,0,0,1,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP EXP_56701_2020-08-08"
1,0,0,0,0,0,0,"madrugada","(125,150]",1,"NOVADUTRA_BR-116/SP MARG_6301_2020-08-08"
0,0,2,0,0,0,0,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP EXP_8301_2020-08-08"
1,0,0,0,0,0,0,"manha","(150,175]",0,"NOVADUTRA_BR-116/SP EXP_16201_2020-08-08"
3,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP EXP_32301_2020-08-09"
2,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP EXP_32901_2020-08-09"
2,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP EXP_33801_2020-08-09"
3,0,0,0,0,0,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP EXP_2501_2020-08-09"
1,0,0,0,0,1,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP EXP_2701_2020-08-09"
0,1,0,1,0,0,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP EXP_3001_2020-08-09"
1,0,0,0,0,0,0,"madrugada","(125,150]",0,"NOVADUTRA_BR-116/SP EXP_3801_2020-08-09"
2,0,0,0,0,0,0,"madrugada","(50,75]",0,"NOVADUTRA_BR-116/SP EXP_3901_2020-08-09"
1,0,0,0,0,0,0,"madrugada","(200,225]",1,"NOVADUTRA_BR-116/SP MARG_4701_2020-08-09"
1,0,0,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP MARG_5501_2020-08-09"
1,0,0,0,0,0,0,"manha","(175,200]",0,"NOVADUTRA_BR-116/SP EXP_35001_2020-08-10"
0,0,0,1,0,0,0,"vespertino","(100,125]",0,"NOVADUTRA_BR-116/SP EXP_40901_2020-08-10"
1,0,1,1,0,0,0,"vespertino","(225,250]",0,"NOVADUTRA_BR-116/SP MARG_53201_2020-08-10"
1,0,0,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP EXP_59501_2020-08-10"
0,0,1,1,0,0,0,"noturno","(225,250]",0,"NOVADUTRA_BR-116/SP MARG_61201_2020-08-10"
1,0,1,0,0,0,0,"noturno","[0,25]",0,"NOVADUTRA_BR-116/SP EXP_62501_2020-08-10"
0,0,0,1,0,0,0,"vespertino","(100,125]",0,"NOVADUTRA_BR-116/SP_40201_2011-02-14"
2,0,0,0,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_47601_2011-02-14"
0,0,1,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_50901_2011-02-14"
0,0,0,1,0,0,0,"vespertino","(200,225]",0,"NOVADUTRA_BR-116/SP_54301_2011-02-14"
1,0,1,0,0,0,0,"noturno","(150,175]",0,"NOVADUTRA_BR-116/SP_59301_2011-02-14"
1,0,0,1,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_61401_2011-02-14"
1,0,0,0,0,0,0,"noturno","(125,150]",0,"NOVADUTRA_BR-116/SP_62801_2011-02-14"
1,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_70101_2011-02-14"
0,0,0,0,0,0,1,"noturno","[0,25]",0,"NOVADUTRA_BR-116/SP_70401_2011-02-14"
1,0,0,0,0,0,0,"noturno","(200,225]",0,"NOVADUTRA_BR-116/SP_70701_2011-02-14"
0,0,0,0,0,0,1,"noturno","[0,25]",0,"NOVADUTRA_BR-116/SP_71701_2011-02-14"
1,0,0,0,0,0,0,"madrugada","(100,125]",0,"NOVADUTRA_BR-116/SP_2901_2011-02-14"
2,0,0,0,0,0,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_3901_2011-02-14"
0,0,1,0,0,0,0,"madrugada","(200,225]",0,"NOVADUTRA_BR-116/SP_4901_2011-02-14"
0,0,1,0,0,0,1,"madrugada","(150,175]",0,"NOVADUTRA_BR-116/SP_7901_2011-02-14"
3,0,0,0,0,0,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_10101_2011-02-14"
0,0,0,1,0,0,1,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_14001_2011-02-14"
1,0,0,0,0,0,0,"manha","(75,100]",0,"NOVADUTRA_BR-116/SP_21001_2011-02-14"
2,0,0,0,0,0,0,"manha","(75,100]",0,"NOVADUTRA_BR-116/SP_22901_2011-02-14"
1,0,0,0,0,0,0,"madrugada","(100,125]",0,"NOVADUTRA_BR-116/SP_1701_2011-02-15"
1,0,0,0,0,1,0,"manha","(200,225]",0,"NOVADUTRA_BR-116/SP_29001_2011-02-15"
0,0,2,0,0,0,0,"manha","[0,25]",0,"NOVADUTRA_BR-116/SP_32601_2011-02-15"
3,0,0,0,0,0,0,"vespertino","(125,150]",0,"NOVADUTRA_BR-116/SP_46801_2011-02-15"
0,0,2,0,0,0,0,"vespertino","(100,125]",0,"NOVADUTRA_BR-116/SP_48201_2011-02-15"
